iteration,episode,score,step
25,20,0.0,2500
50,37,187.56756756756758,5000
75,54,259.25925925925924,7500
100,66,278.030303030303,10000
125,78,291.28205128205127,12500
150,91,325.7142857142857,15000
175,108,365.0,17500
200,122,410.1,20000
225,136,401.4,22500
250,151,405.6,25000
275,162,401.5,27500
300,176,412.9,30000
325,189,413.1,32500
350,203,417.8,35000
375,215,425.4,37500
400,233,436.4,40000
425,244,447.7,42500
450,257,468.3,45000
475,272,489.0,47500
500,286,479.4,50000
525,297,509.4,52500
550,310,498.8,55000
575,327,517.7,57500
600,344,479.8,60000
625,355,464.9,62500
650,365,467.2,65000
675,383,457.3,67500
700,396,418.3,70000
725,409,438.4,72500
750,425,438.7,75000
775,436,463.9,77500
800,449,463.0,80000
825,458,477.5,82500
850,473,467.9,85000
875,491,479.7,87500
900,500,472.7,90000
925,515,465.4,92500
950,531,434.5,95000
975,544,440.8,97500
1000,558,441.6,100000
