iteration,episode,score,step
25,20,0.0,2500
50,24,-3.5,5000
75,40,-10.5,7500
100,40,-10.5,10000
125,60,-13.9,12500
150,60,-13.9,15000
175,77,-15.467532467532468,17500
200,80,-15.6625,20000
225,93,-16.408602150537636,22500
250,100,-16.7,25000
275,109,-18.58,27500
300,120,-20.88,30000
325,127,-20.87,32500
350,140,-20.86,35000
375,145,-20.86,37500
400,160,-20.91,40000
425,162,-20.91,42500
450,179,-20.89,45000
475,181,-20.89,47500
500,197,-20.89,50000
525,201,-20.93,52500
550,212,-20.93,55000
575,220,-20.9,57500
600,231,-20.89,60000
625,239,-20.89,62500
650,248,-20.86,65000
675,259,-20.79,67500
700,265,-20.79,70000
725,276,-20.78,72500
750,284,-20.78,75000
775,295,-20.77,77500
800,301,-20.77,80000
825,312,-20.75,82500
850,320,-20.76,85000
875,330,-20.77,87500
900,339,-20.77,90000
925,346,-20.78,92500
950,356,-20.77,95000
975,365,-20.79,97500
1000,375,-20.78,100000
